"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5954","Country Submitted Info Should Be Matched On Results Section","Chromium Browser","Tue Sep 30 08:59:00 PST 2025","failed","Tue Sep 30 08:59:06 PST 2025","Submit Form And Validate Result Section - First Name Input Field Is Blank","ui/submitFormNoFirstNameTests.spec.ts","",""
"","1083","Email Submitted Info Should Be Matched On Results Section","Chromium Browser","Tue Sep 30 08:59:13 PST 2025","passed","Tue Sep 30 08:59:14 PST 2025","Submit Form And Validate Result Section - With First Name","ui/submitFormWithFirstNameTests.spec.ts","",""
"","1550","First Name Submitted Info Should Be Matched On Results Section","Chromium Browser","Tue Sep 30 08:58:58 PST 2025","passed","Tue Sep 30 08:59:00 PST 2025","Submit Form And Validate Result Section - First Name Input Field Is Blank","ui/submitFormNoFirstNameTests.spec.ts","",""
"","1549","Form Should Be Submited Even First Name Input Field Is Blank - Not Required Field","Chromium Browser","Tue Sep 30 08:58:58 PST 2025","passed","Tue Sep 30 08:59:00 PST 2025","Submit Form And Validate Result Section - First Name Input Field Is Blank","ui/submitFormNoFirstNameTests.spec.ts","",""
"","1213","First Name Submitted Info Should Be Matched On Results Section","Chromium Browser","Tue Sep 30 08:59:07 PST 2025","passed","Tue Sep 30 08:59:08 PST 2025","Submit Form And Validate Result Section - With First Name","ui/submitFormWithFirstNameTests.spec.ts","",""
"","1144","Email Submitted Info Should Be Matched On Results Section","Chromium Browser","Tue Sep 30 08:59:05 PST 2025","passed","Tue Sep 30 08:59:07 PST 2025","Submit Form And Validate Result Section - First Name Input Field Is Blank","ui/submitFormNoFirstNameTests.spec.ts","",""
"","5959","Phone Submitted Info Should Be Matched On Results Section","Chromium Browser","Tue Sep 30 08:59:00 PST 2025","failed","Tue Sep 30 08:59:06 PST 2025","Submit Form And Validate Result Section - First Name Input Field Is Blank","ui/submitFormNoFirstNameTests.spec.ts","",""
"","5146","Search for ""Christmas Tree"" using the search bar select 3rd item","Chromium Browser","Mon Sep 29 22:06:00 PST 2025","passed","Mon Sep 29 22:06:05 PST 2025","Form UI Validations","ui/challengePageTests.spec.ts","",""
"","6021","Country Submitted Info Should Be Matched On Results Section","Chromium Browser","Tue Sep 30 08:59:08 PST 2025","failed","Tue Sep 30 08:59:14 PST 2025","Submit Form And Validate Result Section - With First Name","ui/submitFormWithFirstNameTests.spec.ts","",""
"","6044","Last Name Submitted Info Should Be Matched On Results Section","Chromium Browser","Tue Sep 30 08:59:07 PST 2025","failed","Tue Sep 30 08:59:13 PST 2025","Submit Form And Validate Result Section - With First Name","ui/submitFormWithFirstNameTests.spec.ts","",""
"","6444","Last Name Submitted Info Should Be Matched On Results Section","Chromium Browser","Tue Sep 30 08:58:58 PST 2025","failed","Tue Sep 30 08:59:05 PST 2025","Submit Form And Validate Result Section - First Name Input Field Is Blank","ui/submitFormNoFirstNameTests.spec.ts","",""
"","6037","Phone Submitted Info Should Be Matched On Results Section","Chromium Browser","Tue Sep 30 08:59:08 PST 2025","failed","Tue Sep 30 08:59:14 PST 2025","Submit Form And Validate Result Section - With First Name","ui/submitFormWithFirstNameTests.spec.ts","",""
"","1199","Form Should Be Submited Even First Name Input Field Is Blank - Not Required Field","Chromium Browser","Tue Sep 30 08:59:07 PST 2025","passed","Tue Sep 30 08:59:08 PST 2025","Submit Form And Validate Result Section - With First Name","ui/submitFormWithFirstNameTests.spec.ts","",""
