"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12315","Last Name Input Field Should Not No Input","Chromium Browser","Wed Oct 08 20:49:59 PST 2025","failed","Wed Oct 08 20:50:12 PST 2025","Required Fields Valdations","ui/requiredFieldsValidations.spec.ts","",""
"","11244","Country Submitted Info Should Be Matched On Results Section","Chromium Browser","Wed Oct 08 20:50:25 PST 2025","failed","Wed Oct 08 20:50:36 PST 2025","Submit Form And Validate Result Section - With First Name","ui/submitFormWithFirstNameTests.spec.ts","",""
"","11429","Last Name Submitted Info Should Be Matched On Results Section","Chromium Browser","Wed Oct 08 20:50:09 PST 2025","failed","Wed Oct 08 20:50:20 PST 2025","Submit Form And Validate Result Section - First Name Input Field Is Blank","ui/submitFormNoFirstNameTests.spec.ts","",""
"","1217","Form Should Be Submited Even First Name Input Field Is Blank - Not Required Field","Chromium Browser","Wed Oct 08 20:50:22 PST 2025","passed","Wed Oct 08 20:50:23 PST 2025","Submit Form And Validate Result Section - With First Name","ui/submitFormWithFirstNameTests.spec.ts","",""
"","1299","Email Submitted Info Should Be Matched On Results Section","Chromium Browser","Wed Oct 08 20:50:35 PST 2025","passed","Wed Oct 08 20:50:37 PST 2025","Submit Form And Validate Result Section - With First Name","ui/submitFormWithFirstNameTests.spec.ts","",""
"","11286","Terms and Conditions Checkbox Should Be Checked To Submit The Form","Chromium Browser","Wed Oct 08 20:49:48 PST 2025","failed","Wed Oct 08 20:49:59 PST 2025","Input Fields Valdations","ui/inputFieldsValidations.spec.ts","",""
"","11593","Last Name Input Field Should Not Accept All Numbers","Chromium Browser","Wed Oct 08 20:49:35 PST 2025","failed","Wed Oct 08 20:49:47 PST 2025","Input Fields Valdations","ui/inputFieldsValidations.spec.ts","",""
"","11469","Email Input Field Should Not Accept Invalid Format","Chromium Browser","Wed Oct 08 20:49:47 PST 2025","failed","Wed Oct 08 20:49:59 PST 2025","Input Fields Valdations","ui/inputFieldsValidations.spec.ts","",""
"","11472","Phone Number Input Field Should Not Accept Number and Letters","Chromium Browser","Wed Oct 08 20:49:47 PST 2025","failed","Wed Oct 08 20:49:59 PST 2025","Input Fields Valdations","ui/inputFieldsValidations.spec.ts","",""
"","2693","Form Should Be Submited Even First Name Input Field Is Blank - Not Required Field","Chromium Browser","Wed Oct 08 20:50:04 PST 2025","passed","Wed Oct 08 20:50:06 PST 2025","Submit Form And Validate Result Section - First Name Input Field Is Blank","ui/submitFormNoFirstNameTests.spec.ts","",""
"","11377","Phone Submitted Info Should Be Matched On Results Section","Chromium Browser","Wed Oct 08 20:50:24 PST 2025","failed","Wed Oct 08 20:50:35 PST 2025","Submit Form And Validate Result Section - With First Name","ui/submitFormWithFirstNameTests.spec.ts","",""
"","11826","First Name Input Field Should Not Accept All Numbers","Chromium Browser","Wed Oct 08 20:49:35 PST 2025","failed","Wed Oct 08 20:49:47 PST 2025","Input Fields Valdations","ui/inputFieldsValidations.spec.ts","",""
"","11443","Country Submitted Info Should Be Matched On Results Section","Chromium Browser","Wed Oct 08 20:50:12 PST 2025","failed","Wed Oct 08 20:50:24 PST 2025","Submit Form And Validate Result Section - First Name Input Field Is Blank","ui/submitFormNoFirstNameTests.spec.ts","",""
"","1283","Email Submitted Info Should Be Matched On Results Section","Chromium Browser","Wed Oct 08 20:50:21 PST 2025","passed","Wed Oct 08 20:50:22 PST 2025","Submit Form And Validate Result Section - First Name Input Field Is Blank","ui/submitFormNoFirstNameTests.spec.ts","",""
"","11626","Phone Number Input Field Should Not Accept All Letters","Chromium Browser","Wed Oct 08 20:49:35 PST 2025","failed","Wed Oct 08 20:49:47 PST 2025","Input Fields Valdations","ui/inputFieldsValidations.spec.ts","",""
"","1819","Password Field Should Not Accept No Input","Chromium Browser","Wed Oct 08 20:50:02 PST 2025","passed","Wed Oct 08 20:50:04 PST 2025","Required Fields Valdations","ui/requiredFieldsValidations.spec.ts","",""
"","11540","Phone Submitted Info Should Be Matched On Results Section","Chromium Browser","Wed Oct 08 20:50:12 PST 2025","failed","Wed Oct 08 20:50:23 PST 2025","Submit Form And Validate Result Section - First Name Input Field Is Blank","ui/submitFormNoFirstNameTests.spec.ts","",""
"","11401","Last Name Submitted Info Should Be Matched On Results Section","Chromium Browser","Wed Oct 08 20:50:24 PST 2025","failed","Wed Oct 08 20:50:35 PST 2025","Submit Form And Validate Result Section - With First Name","ui/submitFormWithFirstNameTests.spec.ts","",""
"","2148","Phone Number Input Field Should Not Accept No Input","Chromium Browser","Wed Oct 08 20:49:59 PST 2025","passed","Wed Oct 08 20:50:02 PST 2025","Required Fields Valdations","ui/requiredFieldsValidations.spec.ts","",""
"","2608","First Name Submitted Info Should Be Matched On Results Section","Chromium Browser","Wed Oct 08 20:50:06 PST 2025","passed","Wed Oct 08 20:50:09 PST 2025","Submit Form And Validate Result Section - First Name Input Field Is Blank","ui/submitFormNoFirstNameTests.spec.ts","",""
"","11700","Email Input Field Should Not Accept No Input","Chromium Browser","Wed Oct 08 20:49:59 PST 2025","failed","Wed Oct 08 20:50:11 PST 2025","Required Fields Valdations","ui/requiredFieldsValidations.spec.ts","",""
"","1706","First Name Submitted Info Should Be Matched On Results Section","Chromium Browser","Wed Oct 08 20:50:23 PST 2025","passed","Wed Oct 08 20:50:25 PST 2025","Submit Form And Validate Result Section - With First Name","ui/submitFormWithFirstNameTests.spec.ts","",""
